,Cell_ID,IntrinsicProfile
0,MJ0.1,RS
1,MJ1.1,RS_Ih_Bursting
2,MJ11.2,RS
3,MJ15.1,RS
4,MJ17.1,RS
5,MJ17.2,FS
6,MJ17.3,RS
7,MJ19.1,RS
8,MJ21.1,"Adapting, Ih"
9,MJ22.1,NFS_ADP
10,MJ25.1,RS
11,MJ25.2,NaN
12,MJ26.1,RS
13,MJ30.1,RS
14,MJ30.2,RS
15,MJ30.3,RS
16,MJ31.1,RS
17,MJ31.2,RS
18,MJ31.3,RS
19,MJ32.1,RS
20,MJ32.2,RS
21,MJ32.3,NFS
22,MJ33.1,RS
23,MJ33.3,RS
24,MJ33.4,RS_Ih
25,MJ37.1,RS
26,MJ37.2,RS
27,MJ37.3,RS
28,MJ39.1,RS
29,MJ39.2,FS
30,MJ39.3,RS_Ih
31,MJ41.1,RS
32,MJ41.2,RS
33,MJ41.3,RS
34,MJ41.4,RS
35,MJ44.1,FS
36,MJ44.2,RS
37,MJ44.3,RS
38,MJ47.1,RS
39,MJ47.2,RS
40,MJ47.3,RS_Ih
41,MJ47.4,Bursting
42,MJ48.2,RS
43,MJ48.3,RS_Stuterring
44,MJ48.4,RS
45,MJ48.5,RS
46,MJ48.6,RS_Ih
47,MJ49.1,RS
48,MJ49.2,RS
49,MJ49.4,RS
50,MJ5.1,RS
51,MJ7.1,RS
52,MJ7.2,RS
53,MJ9.1,RS
54,OLL1.2,RS
55,OLL12.1,RS
56,OLL12.3,FS
57,OLL12.4,NFS_ADP_Ih
58,OLL12.5,FS_Delayed
59,OLL13.1,RS_Ih
60,OLL13.2,FS
61,OLL13.3,FS
62,OLL13.4,FS
63,OLL13.5,FS
64,OLL13.6,FS_Ih
65,OLL14.1,RS
66,OLL14.2,RS_ADP
67,OLL14.3,FS
68,OLL14.4,RS
69,OLL15.1,RS
70,OLL15.2,RS
71,OLL15.3,Bursting_Ih
72,OLL15.4,RS_Ih
73,OLL15.5,RS_Ih_SingleSpike
74,OLL15.6,RS_Ih_Stuttering
75,OLL15.7,RS
76,OLL15.8,RS
77,OLL16.1,FS
78,OLL16.2,FS
79,OLL16.3,RS
80,OLL16.4,FS
81,OLL18.1,RS
82,OLL18.2,NFS
83,OLL18.3,RS
84,OLL18.4,RS
85,OLL18.5,RS
86,OLL19.1,RS
87,OLL19.10,RS
88,OLL19.2,RS
89,OLL19.3,RS
90,OLL19.4,RS
91,OLL19.5,RS
92,OLL19.6,RS
93,OLL19.7,RS
94,OLL19.8,RS
95,OLL19.9,RS
96,OLL20.1,FS
97,OLL20.2,RS
98,OLL20.3,FS
99,OLL20.4,RS
100,OLL20.5,RS
101,OLL21.1,RS
102,OLL21.2,RS
103,OLL21.3,RS_Ih
104,OLL21.4,RS_Ih_SingleSpike
105,OLL22.1,FS
106,OLL22.2,RS
107,OLL22.3,RS
108,OLL23.1,FS
109,OLL23.2,RS
110,OLL23.3,FS
111,OLL23.4,RS
112,OLL24.1,FS
113,OLL24.2,RS
114,OLL24.3,RS
115,OLL24.4,FS
116,OLL25.1,RS
117,OLL25.2,RS
118,OLL25.3,Bursting_Ih_ReboundBursting
119,OLL26.1,RS_stuterring
120,OLL26.2,RS
121,OLL26.3,RS
122,OLL27.1,RS_Ih
123,OLL27.5,RS
124,OLL27.6,RS
125,OLL28.1,RS
126,OLL28.2,RS_Stuterring
127,OLL28.3,RS_Ih
128,OLL28.4,RS
129,OLL28.5,RS_Ih
130,OLL28.6,RS_Ih_Stuttering
131,OLL28.7,RS
132,OLL28.8,RS
133,OLL29.1,RS_Ih
134,OLL29.2,RS
135,OLL29.3,FS
