,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag
0,SA103.1,17,P14-P18,S1BF,Pyramidal,Pyr,4,-76.53515271100181,375.78307333780475,0.02499509265197692,40.0,-36.651611328125,68.42041015625,0.0020500000000001073,7.720947265625,38.0,1.3471798780487805,4.050384521484375
1,SA103.2,17,P14-P18,S1BF,LHX6,PV,4,-61.351319283054686,62.443042732058586,-0.6327506839587612,189.50000000000003,-46.38671875,75.592041015625,0.0005999999999999339,21.759033203125,100.0,1.271341463414634,1.23419189453125
2,SA103.3,17,P14-P18,S1BF,LHX6,PV,4,-55.081945521583584,89.66927882212893,0.2388335865885762,155.84615384615392,-44.25048828125,62.8662109375,0.0005999999999999339,17.27294921875,124.0,1.3274021352313168,0.430877685546875
3,SA103.4,17,P14-P18,S1BF,Pyramidal,Pyr,4,-80.0853928436757,299.0982490896716,0.023208452189242276,30.0,-41.3818359375,72.08251953125,0.0018499999999999073,6.195068359375,30.0,2.4571865443425076,3.592987060546875
4,SA103.5,17,P14-P18,S1BF,LHX6,PV,4,-65.40015109148756,61.651489379446794,0.7844517189558669,357.3333333333332,-31.829833984375,54.229736328125,0.0005500000000000504,20.20263671875,78.0,0.9856,3.007080078125
5,SA107.1,17,P14-P18,V1,Pyramidal,Pyr,4,-75.61685128270597,294.6928379241571,0.024789389043866777,30.0,-41.3818359375,65.338134765625,0.0020499999999998852,6.04248046875,36.0,1.3395107487027427,1.766876220703125
6,SA107.2,17,P14-P18,V1,Pyramidal,Pyr,4,-73.47588909433229,349.9539619809187,0.049065132546562897,20.0,-38.02490234375,62.225341796875,0.0021499999999998742,6.4697265625,38.0,1.6346346346346345,0.852020263671875
7,SA107.3,17,P14-P18,V1,LHX6;SSTCre,SST,4,-61.67116264637302,229.17490178507217,0.020141065659798087,35.61538461538464,-42.144775390625,58.837890625,0.0012499999999999734,7.080078125,76.0,1.2851985559566788,3.94378662109375
8,SA107.4,17,P14-P18,V1,LHX6,PV,4,-71.03921543491205,198.95836912451895,0.011930779424910599,46.21739130434776,-36.62109375,68.206787109375,0.0007999999999999119,23.0712890625,70.0,1.126865671641791,2.36962890625
9,SA108.1,18,P14-P18,S1BF,LHX6,PV,4,-74.60693453158702,159.7095671065663,0.013503725196536642,140.2857142857142,-36.163330078125,63.41552734375,0.0006500000000000394,13.3056640625,90.0,2.6580645161290324,0.696258544921875
