,Cell_ID,Age,Development,BrainArea,CellTarget,CellType,CellLayer,RMP,Rin,Tau,Rheobase,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP,MaxFiringFrequency,AdaptationIndex,VoltageSag,IntrinsicProfile,
0,MJ0.1,12,P9-P13,V1,Pyramidal,Pyr,4,-61.7925944,658.667843,0.066881223,7.5,-37.23144531,70.98388672,0.00295,4.089355469,30,1.30879816,1.989105225,RS,
1,MJ1.1,12,P9-P13,S1BF,Pyramidal,Pyr,4,-68.12855225,741.8226207,0.170997444,10,-38.51318359,51.51367188,0.0031,-0.152587891,30,2.223145401,4.343078613,RS_Ih_Bursting,
2,MJ11.2,7,P5-P8,V1,Pyramidal,Pyr,4,-64.39644368,1163.897298,0.104506501,9.166666667,-30.48706055,48.67553711,0.00485,-0.823974609,36,1.467032967,0.360748291,RS,
3,MJ15.1,6,P5-P8,V1,Pyramidal,Pyr,23,-62.27765881,1458.90529,0.091132062,10,-31.76879883,33.35571289,0.00165,-33.32519531,30,2,3.181091309,RS,
4,MJ17.1,8,P5-P8,V1,Pyramidal,Pyr,23,-60.27743358,1090.220342,0.129244438,7.857142857,-29.35791016,66.74194336,0.00295,10.37597656,16,1.434262948,1.936828613,RS,X
5,MJ17.2,8,P5-P8,V1,Pyramidal,FS,4,-63.06571248,1174.983391,0.153389982,19.33333333,-34.24072266,56.21337891,0.0022,22.97973633,36,1.20026178,6.838745117,FS,
6,MJ17.3,8,P5-P8,V1,Pyramidal,Pyr,4,-65.75460409,947.3304702,0.143887847,26.00943396,-32.44018555,59.75341797,0.00325,9.796142578,20,1.194497154,0.244506836,RS,
7,MJ19.1,9,P9-P13,V1,Pyramidal,Pyr,4,-56.5794373,1019.415702,0.1583011,15.8974359,-31.49414063,50.38452148,0.00345,3.112792969,16,2.587657784,0.572570801,RS,
8,MJ21.1,12,P9-P13,V1,Pyramidal,IN,4,-69.47401937,441.9650361,0.036906922,46,-27.70996094,50.38452148,0.0029,20.32470703,18,2.074918567,3.762329102,"Adapting, Ih",
9,MJ22.1,12,P9-P13,V1,Pyramidal,SST,4,-65.93467478,330.1407762,0.058963005,30.43669251,-44.49462891,78.00292969,0.00135,11.59667969,64,1.102914718,0.337036133,NFS_ADP,
10,MJ25.1,14,P14-P18,V1,Pyramidal,Pyr,4,-55.40522051,666.7084861,-0.479162766,10,-39.21508789,75.31738281,0.0035,0.091552734,28,1.357901312,1.016326904,RS,
11,MJ25.2,14,P14-P18,V1,Pyramidal,NGF,4,-60.61751707,770.4578988,0.329829125,19.05446623,-26.48925781,36.28540039,0.00405,3.692626953,12,1.424872356,0.901855469,NaN,
12,MJ26.1,15,P14-P18,V1,Pyramidal,Pyr,4,-75.7145459,579.7656764,0.122182828,20,-37.96386719,77.17895508,0.002,10.68115234,24,1.346418057,1.025970459,RS,
13,MJ30.1,11,P9-P13,V1,Pyramidal,Pyr,4,-62.60519248,1256.159091,0.138653864,13.03636364,-33.93554688,77.17895508,0.00245,13.33618164,16,1.418560606,8.058959961,RS,
14,MJ30.2,11,P9-P13,V1,Pyramidal,Pyr,4,-67.02305908,919.1156006,0.198097264,7.834697218,-24.44458008,67.3828125,0.0027,12.90893555,14,1.406844106,0.768127441,RS,
15,MJ30.3,11,P9-P13,V1,Pyramidal,Pyr,4,-61.26597774,793.5486258,0.098803976,20,-33.69140625,64.02587891,0.0029,8.7890625,24,1.323578595,0.818664551,RS,
16,MJ31.1,10,P9-P13,V1,Pyramidal,Pyr,4,-63.64291992,597.1478271,0.049071739,24.33333333,-35.64453125,66.00952148,0.00275,8.666992188,10,1.388308977,0.192047119,RS,
17,MJ31.2,10,P9-P13,V1,Pyramidal,Pyr,4,-57.05730896,699.4796753,-3.43413026,30,-35.36987305,77.94189453,0.002,7.690429688,6,1.157221207,3.08770752,RS,
18,MJ31.3,10,P9-P13,V1,Pyramidal,Pyr,4,-62.05763245,966.5164185,0.039857786,20,-35.8581543,71.50268555,0.0025,10.62011719,12,1.54751773,1.308990479,RS,
19,MJ32.1,11,P9-P13,V1,Pyramidal,Pyr,4,-56.61562127,1023.299089,0.085355506,20,-33.56933594,75.01220703,0.0037,3.814697266,18,1.382034632,0.561157227,RS,
20,MJ32.2,11,P9-P13,V1,Pyramidal,Pyr,4,-74.08385696,960.8457201,0.197534365,10,-28.65600586,68.42041016,0.00325,10.83374023,26,1.175551102,0.492919922,RS,
21,MJ32.3,11,P9-P13,V1,SSTCre,SST,4,-58.68397355,250.8894305,0.195516779,21.48169014,-46.11206055,68.66455078,0.0026,8.636474609,36,1.103144654,1.892913818,NFS,
22,MJ33.1,6,P5-P8,V1,Pyramidal,Pyr,4,-68.21579844,691.0145573,0.053416554,21.25764192,-30.85327148,49.62158203,0.0042,-0.457763672,10,1.742175857,7.115264893,RS,
23,MJ33.3,6,P5-P8,V1,Pyramidal,Pyr,23,-62.12971445,1227.143261,0.07941463,20,-28.93066406,45.56274414,0.00605,-9.429931641,10,0.001948052,1.18347168,RS,
24,MJ33.4,6,P5-P8,V1,Pyramidal,Pyr,5,-63.14750006,394.6219114,0.072509906,21,-34.94262695,70.86181641,0.00585,-20.72143555,26,1.449886963,6.627288818,RS_Ih,
25,MJ37.1,7,P5-P8,V1,Pyramidal,Pyr,4,-57.21267226,1155.030868,0.204067731,10,-22.79663086,51.60522461,0.0047,-4.39453125,16,1.237161897,0.625671387,RS,
26,MJ37.2,7,P5-P8,V1,Pyramidal,Pyr,4,-50.16116783,1101.734745,-0.400452381,31,-37.20092773,41.87011719,0.0052,-4.211425781,8,226.7537202,1.258483887,RS,
27,MJ37.3,7,P5-P8,V1,Pyramidal,Pyr,4,-55.06085946,274.2925552,3.419052257,91,-27.0690918,61.43188477,0.00335,4.028320313,2,,0.678955078,RS,
28,MJ39.1,8,P5-P8,V1,Pyramidal,Pyr,4,-56.19093323,1117.328796,0.092127119,5.318181818,-27.64892578,44.34204102,0.00495,0.305175781,20,0.001565762,3.79107666,RS,
29,MJ39.2,8,P5-P8,V1,Pyramidal,FS,4,-54.03413083,2053.936688,0.14634202,20,-29.96826172,55.3894043,0.00205,27.77099609,46,1.050699301,3.903533936,FS,
30,MJ39.3,8,P5-P8,V1,Pyramidal,Pyr,6,-62.87074026,1560.525175,0.139661819,20,-31.55517578,66.74194336,0.00265,16.20483398,32,1.133783784,7.475280762,RS_Ih,
31,MJ41.1,13,P9-P13,V1,Pyramidal,Pyr,4,-61.53986284,314.0167371,0.056585983,30,-39.36767578,63.4765625,0.00275,5.584716797,10,1.68869936,0.763122559,RS,
32,MJ41.2,13,P9-P13,V1,Pyramidal,Pyr,4,-64.57660317,422.9433718,0.085674576,7.621621622,-38.72680664,75.74462891,0.0024,4.760742188,16,2.051428571,0.798400879,RS,
33,MJ41.3,13,P9-P13,V1,Pyramidal,Pyr,4,-69.79787683,494.9220796,0.088185065,20,-39.03198242,76.53808594,0.00225,6.530761719,16,2.117307692,0.589996338,RS,
34,MJ41.4,13,P9-P13,V1,Pyramidal,Pyr,4,-67.23517063,277.2735643,0.09653144,14.62711864,-39.55078125,73.12011719,0.0023,3.662109375,12,1.437566702,0.602020264,RS,
35,MJ44.1,15,P14-P18,V1,Pyramidal,FS,4,-63.09256775,210.7366008,-0.736093959,98.84217335,-30.91430664,55.96923828,0.0011,25.29907227,48,1.009700889,1.880706787,FS,
36,MJ44.2,15,P14-P18,V1,Pyramidal,Pyr,4,-75.1914425,478.2458123,0.108569251,14.88235294,-26.18408203,59.17358398,0.00275,9.399414063,8,1.442610063,2.756103516,RS,
37,MJ44.3,15,P14-P18,V1,Pyramidal,Pyr,4,-66.50098727,498.1581708,0.044475149,31,-35.49194336,78.3996582,0.0018,9.918212891,38,1.296691569,0.972412109,RS,
38,MJ47.1,16,P14-P18,V1,Pyramidal,Pyr,4,-58.30946558,631.560559,0.048198107,10,-34.57641602,70.52612305,0.0022,13.70239258,18,1.603723404,1.943237305,RS,
39,MJ47.2,16,P14-P18,V1,Pyramidal,Pyr,4,-83.06728835,286.1919729,0.073757516,43.85714286,-40.13061523,82.27539063,0.0025,9.155273438,18,1.314873418,1.785522461,RS,
40,MJ47.3,16,P14-P18,V1,Pyramidal,Pyr,5,-64.15355345,291.2449186,0.171562152,20,-42.51098633,91.70532227,0.00215,5.462646484,26,1.315225161,5.689117432,RS_Ih,
41,MJ47.4,16,P14-P18,V1,Pyramidal,Pyr,23,-78.87766889,494.7800076,0.097860442,20,-37.26196289,75.59204102,0.00235,3.540039063,26,2.78528827,1.936645508,Bursting,
