,MouseID,MouseAge,MouseDevelopment,BrainArea,CellID,CellTarget,CellType,CellLayer,Rin,RMP,Tau,Rheobase,MaxFiringFrequency,AdaptationIndex,VoltageSag,AP_Threshold,AP_Height,AP_HalfWidth,AP_AHP
0,MJ0,12,P9-P13,V1,MJ0.1,Pyramidal,Pyr,4.0,654.7407670454544,-61.81640625000001,0.07852569481662094,7.5000000000000036,22.0,1.3087981598619896,2.13623046875,-37.2314453125,70.98388671875,0.002950000000000008,19.134521484375
1,MJ1,12,P9-P13,S1BF,MJ1.1,Pyramidal,Pyr,4.0,724.0249171401512,-68.36751302083334,0.09894340010207256,10.0,20.0,2.223145400593472,5.218505859375,-38.51318359375,51.513671875,0.0031000000000001027,15.44189453125
2,MJ11,7,P5-P8,V1,MJ11.2,Pyramidal,Pyr,4.0,1161.1106178977266,-64.501953125,0.11815392298866179,7.9999999999999885,20.0,1.583815028901734,0.1220703125,-30.487060546875,48.675537109375,0.004850000000000021,21.17919921875
3,MJ15,6,P5-P8,V1,MJ15.1,Pyramidal,Pyr,23.0,1487.8057524366823,-60.95377314681006,0.12623350958569302,10.0,18.0,1.962526766595289,0.54931640625,-31.768798828125,33.355712890625,0.0050000000000001155,14.923095703125
4,MJ17,8,P5-P8,V1,MJ17.1,Pyramidal,Pyr,23.0,1079.7988400890117,-60.55776412052549,0.14351852489652248,7.857142857142862,12.0,1.4355909694555113,0.30517578125,-29.35791015625,66.741943359375,0.002950000000000008,18.1884765625
5,MJ17,8,P5-P8,V1,MJ17.2,Pyramidal,FS,4.0,1165.7344933712118,-63.18155924479168,0.10756931020243508,19.33333333333332,30.0,1.200261780104712,0.54931640625,-34.24072265625,56.21337890625,0.0021999999999999797,23.98681640625
6,MJ17,8,P5-P8,V1,MJ17.3,Pyramidal,Pyr,4.0,942.9931640624993,-65.8660888671875,0.13526277371564213,26.009433962264165,16.0,1.1944971537001898,0.701904296875,-32.440185546875,59.75341796875,0.003249999999999975,17.51708984375
7,MJ19,9,P9-P13,V1,MJ19.1,Pyramidal,Pyr,4.0,1024.8139695681575,-56.541794596168856,0.11447830821939385,15.897435897435932,10.0,2.58765778401122,0.152587890625,-31.494140625,50.384521484375,0.003449999999999953,12.3291015625
8,MJ21,12,P9-P13,V1,MJ21.1,Pyramidal,IN,4.0,440.61834161931836,-69.4427490234375,0.05134325154209209,48.999999999999986,14.0,1.8129784907036093,3.60107421875,-27.7099609375,50.384521484375,0.0028999999999999027,24.169921875
9,MJ22,12,P9-P13,V1,MJ22.1,Pyramidal,SST,4.0,332.3240707281067,-65.9369549451918,0.09898260972646997,30.43669250646001,52.0,1.1029147175242893,0.152587890625,-44.49462890625,78.0029296875,0.0013499999999999623,15.045166015625
10,MJ25,14,P14-P18,V1,MJ25.1,Pyramidal,Pyr,4.0,676.1967830650445,-54.89630396791498,0.0773948888011546,10.0,20.0,1.3579013116802,0.885009765625,-39.215087890625,75.3173828125,0.0035000000000000586,18.61572265625
11,MJ26,15,P14-P18,V1,MJ26.1,Pyramidal,Pyr,4.0,566.8790844492588,-76.50128936618364,0.12495934216369102,20.0,20.0,1.3464180569185475,0.3662109375,-37.9638671875,77.178955078125,0.0020000000000000018,14.923095703125
12,MJ30,11,P9-P13,V1,MJ30.1,Pyramidal,Pyr,4.0,1244.1366946147896,-63.056694893162785,0.14479857792496625,13.036363636363621,16.0,1.418560606060606,0.1220703125,-33.935546875,77.178955078125,0.002449999999999841,18.6767578125
13,MJ30,11,P9-P13,V1,MJ30.2,Pyramidal,Pyr,4.0,899.9633789062494,-67.7276611328125,0.14570985568119707,7.834697217675937,14.0,1.4068441064638784,0.335693359375,-24.444580078125,67.3828125,0.0026999999999999247,21.05712890625
14,MJ30,11,P9-P13,V1,MJ30.3,Pyramidal,Pyr,4.0,787.3104657499018,-61.33064580935298,0.10489918855254436,20.0,16.0,1.3235785953177257,0.8544921875,-33.69140625,64.02587890625,0.0029000000000001247,15.228271484375
15,MJ31,10,P9-P13,V1,MJ31.1,Pyramidal,Pyr,4.0,599.0600585937495,-63.59558105468751,0.08006357579005627,24.333333333333357,6.0,1.5743356456227744,0.091552734375,-35.64453125,66.009521484375,0.002749999999999808,10.498046875
16,MJ31,10,P9-P13,V1,MJ31.2,Pyramidal,Pyr,4.0,683.5937499999987,-57.33642578125002,0.08226361804306259,30.0,6.0,1.1572212065813527,4.08935546875,-35.369873046875,77.94189453125,0.0020000000000000018,10.009765625
17,MJ31,10,P9-P13,V1,MJ31.3,Pyramidal,Pyr,4.0,956.1157226562492,-62.0635986328125,0.08743988566696384,20.0,12.0,1.5475177304964538,1.40380859375,-35.858154296875,71.502685546875,0.0025000000000001688,15.594482421875
18,MJ32,11,P9-P13,V1,MJ32.1,Pyramidal,Pyr,4.0,1015.0889999204367,-56.76336471491872,0.10014804151782684,20.0,14.0,1.382034632034632,2.777099609375,-33.5693359375,75.01220703125,0.0036999999999998145,14.678955078125
19,MJ32,11,P9-P13,V1,MJ32.2,Pyramidal,Pyr,4.0,943.1241074325891,-74.57246152584833,0.139646642685584,10.0,20.0,1.1755511022044087,0.1983642578125,-28.656005859375,68.42041015625,0.003249999999999975,23.406982421875
20,MJ32,11,P9-P13,V1,MJ32.3,SSTCre,SST,4.0,252.0895660799381,-58.41525853624998,0.1544268348901457,21.48169014084503,28.0,1.1031446540880503,1.708984375,-46.112060546875,68.66455078125,0.0025999999999999357,12.420654296875
21,MJ33,6,P5-P8,V1,MJ33.1,Pyramidal,Pyr,4.0,695.9659674868445,-68.15696929250936,0.10450150047984273,15.815126050420119,8.0,2.5650454503558553,0.701904296875,-30.853271484375,49.62158203125,0.0041999999999999815,13.671875
22,MJ33,6,P5-P8,V1,MJ33.3,Pyramidal,Pyr,23.0,1232.812809632614,-62.04273478972002,0.0834010602680522,20.0,6.0,0.016506189821182942,0.30517578125,-28.9306640625,45.562744140625,0.006050000000000111,14.617919921875
23,MJ33,6,P5-P8,V1,MJ33.4,Pyramidal,Pyr,5.0,382.06788047655664,-63.24792696273297,0.10004960446004299,21.0,14.0,1.4498869630746043,7.232666015625,-34.942626953125,70.86181640625,0.005850000000000133,23.773193359375
